canonical_id,F116,F115,F117,F120,F123,F110,F105,F68,F101,F104,F65,F22,F72,F25,F3-NA,F3-String,F3-int,F15-NA,F15-public,F126,F41,F77,category
derby-B-1312,0.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,0.10714285714285714,235,0.25336927223719674,0.43778280542986425,41,2,8134,3064,1,0,0,1,0,91,610,12,close
derby-B-1555,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,151,0.7368421052631579,0.2631578947368421,6,2,8134,3064,1,0,0,1,0,0,241,6969,open
derby-B-1353,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,235,0.9990956364458512,0.5846464646464646,124,2,8134,3064,1,0,0,1,0,18,610,1659,open
derby-B-1235,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,235,0.5893358278765201,0.4515103338632751,64,2,8134,3064,1,0,0,1,0,0,610,6969,open
derby-B-1321,-1.0,-1.0,0.06349206349206349,0.08480126588811351,0.08480126588811351,-0.873015873015873,1.0,235,0.7554744525547445,0.3439306358381503,13,2,8134,3064,1,0,0,1,0,0,610,6969,open
derby-B-449,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,12,0.15712383488681758,0.42953020134228187,52,2,8134,3064,1,0,0,1,0,0,0,6969,close
derby-B-602,-1.0,-1.0,0.02127659574468085,0.023834639568557327,0.023834639568557327,-0.9574468085106383,0.4137931034482759,35,0.6402877697841727,0.12371134020618554,3,2,8134,3064,1,0,1,1,0,0,10,6969,open
derby-B-121,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,16,0.5112936344969199,0.3226837060702875,23,2,8134,3064,1,0,0,1,0,27,41,6969,close
cassandra-B-180,0.0,0.0,0.5833333333333334,0.011861908794940493,0.011861908794940493,0.16666666666666666,0.6129032258064516,2,0.8524590163934426,0.3670886075949367,3,1,8481,357,1,0,0,1,0,0,0,4520,open
derby-B-1206,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,0.8461538461538461,52,0.5214285714285715,0.05982905982905984,5,2,3164,1348,1,0,0,1,0,0,124,1999,close
derby-B-567,0.0,-1.0,0.045454545454545456,0.08480126588811351,0.08480126588811351,-0.9090909090909092,1.0,53,0.3242009132420091,0.4803149606299213,15,3,3075,1273,1,0,0,1,0,0,3,1910,open
derby-B-573,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,53,0.5436643835616438,0.8666666666666667,40,2,8134,3064,1,0,0,1,0,1,3,6969,close
derby-B-1532,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,151,0.35353535353535354,0.5446685878962536,117,2,8134,3064,1,0,0,1,0,0,241,6969,close
derby-B-1267,-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,235,0.6956300813008129,0.5277296360485269,46,2,8134,3064,1,0,0,1,0,0,610,6969,close
derby-B-1715,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,38,0.2525252525252525,0.5398230088495575,21,2,8134,3064,1,0,0,1,0,0,0,6969,close
derby-B-588,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,53,0.4841351074718526,0.8126272912423625,42,2,8134,3064,1,0,0,1,0,0,3,1462,close
derby-B-1728,-1.0,-1.0,0.02127659574468085,0.023834639568557327,0.023834639568557327,-0.9574468085106383,0.6428571428571429,4,0.3934426229508197,0.2251655629139073,9,2,3164,1348,1,0,0,1,1,0,0,1999,open
derby-B-1220,-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,235,0.3109048723897912,1.0268817204301075,13,2,8134,3064,1,0,0,1,0,0,610,6969,close
derby-B-1595,0.0,-0.6,0.04651162790697674,0.08480126588811351,0.08480126588811351,-0.9069767441860463,1.0,151,0.19140625,0.2901353965183752,16,2,8134,3064,1,0,0,1,0,2,241,6969,open
derby-B-1345,-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,235,0.9394076418720324,0.5846464646464646,124,2,8134,3064,1,0,0,1,1,18,610,6969,close
derby-B-1233,-1.0,-1.0,0.0,0.08480126588811351,0.08480126588811351,-1.0,1.0,235,0.6695721077654516,0.8427152317880795,49,2,8134,3064,1,0,0,1,0,0,610,6969,open
tomcat-B-715,-1.0,-0.8461538461538461,0.07692307692307693,0.3712370758067992,0.3712370758067992,-0.8076923076923077,0.6666666666666666,6,0.5238685678859268,0.3982558139534884,81,1,17709,2264,1,0,0,1,0,0,0,9256,close
derby-B-1567,-1.0,-0.6363636363636364,0.0,0.018972308598876112,0.018972308598876112,-1.0,1.0,151,0.2333804809052334,0.17995910020449898,23,2,8134,3064,1,0,0,1,0,2,241,6969,close
derby-B-1342,-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,0.4615384615384616,235,0.9175764192139738,0.6476578411405295,80,2,8134,3064,1,0,0,1,0,0,610,1645,close
derby-B-122,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,16,0.484599589322382,0.3226837060702875,23,2,8134,3064,1,0,0,1,0,27,41,6969,close
derby-B-1485,-1.0,-1.0,0.020833333333333332,3.2208844613994704e-05,3.2208844613994704e-05,-0.9583333333333334,0.6666666666666666,235,0.8046218487394958,0.11204481792717087,27,1,8134,3064,1,0,1,1,0,0,610,6969,open
derby-B-228,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,0.6666666666666666,88,0.5570469798657718,0.4691358024691358,17,2,7791,2804,1,0,0,1,0,0,1,6626,close
derby-B-303,-1.0,-0.9473684210526316,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,56,0.9222689075630252,0.5530101225359616,129,2,7791,2804,1,0,0,1,0,0,3,6626,open
derby-B-516,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,39,0.14452709883103082,0.8533333333333334,40,2,8134,3064,1,0,0,1,0,0,0,6969,close
derby-B-1565,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,151,0.7277777777777777,0.5806451612903226,5,2,8134,3064,1,0,0,1,0,0,241,6969,open
derby-B-305,-1.0,-0.9473684210526316,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,56,0.9216686674669868,0.5530101225359616,129,2,7791,2804,1,0,0,1,0,0,3,6626,open
derby-B-1289,-1.0,-1.0,0.5714285714285714,0.08480126588811351,0.08480126588811351,0.14285714285714285,1.0,235,0.14175686927560366,0.5887815750371471,92,2,8134,3064,1,0,0,1,0,5,610,6969,open
derby-B-294,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,0.75,56,0.8586839266450917,0.2879156528791565,132,2,7791,2804,1,0,0,1,0,0,3,5748,open
derby-B-155,0.0,-1.0,0.1,0.023834639568557327,0.023834639568557327,-0.8,1.0,88,0.4383561643835616,0.8235294117647058,5,3,5209,2075,1,0,0,1,0,0,1,4044,open
derby-B-1348,-1.0,-1.0,0.25,0.081104871355322,0.081104871355322,-0.5,1.0,235,0.6884467555957495,0.5846464646464646,124,2,8134,3064,1,0,0,1,0,18,610,6969,open
derby-B-112,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,16,0.5247252747252747,0.4537037037037037,20,2,8134,3064,1,0,0,1,1,0,41,6969,close
derby-B-107,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,16,0.4798387096774194,0.640625,15,2,8134,3064,1,0,0,1,0,0,41,2222,close
derby-B-1690,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,0.8,151,0.8613861386138614,0.7826086956521741,3,2,8134,3064,1,0,0,1,0,0,241,6969,open
jmeter-B-239,-1.0,-1.0,0.2280701754385965,0.005381474432391197,0.005381474432391197,-0.5263157894736842,0.1176470588235294,41,0.9252136752136751,0.6991869918699187,15,1,7508,1056,1,1,0,1,0,0,118,2456,close
tomcat-B-716,-1.0,-0.3333333333333333,0.3333333333333333,0.14753001392947815,0.14753001392947815,-0.3333333333333333,1.0,6,0.2490421455938697,0.3135755258126195,52,2,17709,2264,1,0,0,1,0,0,0,9256,open
derby-B-2119,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,0.8571428571428571,53,0.2558139534883721,0.6097560975609756,5,2,8134,3064,1,0,0,1,0,0,0,6969,close
derby-B-2264,0.0,-1.0,0.0,0.081104871355322,0.081104871355322,-1.0,1.0,53,0.7924528301886793,0.2903225806451613,5,2,7482,2621,1,0,0,1,0,0,0,6969,open
derby-B-1468,-1.0,-1.0,0.0,0.08480126588811351,0.08480126588811351,-1.0,1.0,235,0.5684535287311994,0.9118869492934332,53,2,8134,3064,1,0,0,1,0,0,610,6969,close
tomcat-B-933,0.0,-1.0,0.16494845360824742,0.14753001392947815,0.14753001392947815,-0.6597938144329897,1.0,16,0.1183206106870229,0.13,16,2,14043,999,1,0,0,1,0,0,33,5215,open
derby-B-1307,-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,235,0.5561797752808989,0.4245283018867925,6,2,8134,3064,1,0,0,1,0,0,610,6969,close
derby-B-136,-1.0,-1.0,0.02608695652173913,0.08480126588811351,0.08480126588811351,-0.9478260869565216,0.75,16,0.9966666666666668,0.7814569536423841,28,3,8134,3064,1,0,0,1,0,0,41,3006,open
derby-B-1958,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,88,0.8285714285714286,0.08695652173913042,2,2,7482,2621,1,0,0,1,0,0,93,6969,open
derby-B-1585,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,151,0.34793187347931875,0.4693877551020408,7,2,8134,3064,1,0,0,1,0,0,241,6969,close
derby-B-1454,-1.0,-1.0,0.2727272727272727,0.023834639568557327,0.023834639568557327,-0.4545454545454545,1.0,235,0.6402627511591963,0.6966542750929368,53,2,8134,3064,1,0,0,1,0,129,610,6969,close
derby-B-515,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,39,0.2933049946865037,0.8533333333333334,40,2,8134,3064,1,0,0,1,0,0,0,6969,close
derby-B-600,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,0.10344827586206896,35,0.18724279835390947,0.28152492668621704,9,2,7864,2847,1,0,0,1,0,0,10,4936,open
derby-B-513,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,39,0.4550898203592814,1.0869565217391304,7,2,8134,3064,1,0,0,1,0,0,0,6969,close
derby-B-236,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,0.32142857142857145,88,0.4263261296660118,0.3577981651376147,27,2,7791,2804,1,0,0,1,0,0,1,6626,open
derby-B-132,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,0.42857142857142855,16,0.4147465437788018,1.1058823529411763,9,2,4740,2001,1,0,0,1,0,0,41,3575,close
derby-B-550,-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,53,0.4316069057104914,0.9852941176470588,35,2,8134,3064,1,0,0,1,0,0,3,6969,close
derby-B-1592,0.0,-1.0,0.14285714285714285,0.018972308598876112,0.018972308598876112,-0.7142857142857143,1.0,151,0.35931790499390986,0.6214442013129103,22,3,8134,3064,1,0,0,1,0,5,241,1816,open
derby-B-591,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,53,0.195496417604913,0.8126272912423625,42,2,8134,3064,1,0,0,1,0,0,3,1462,close
derby-B-115,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,16,0.3283582089552239,1.4715447154471544,10,2,8134,3064,1,0,0,1,0,0,41,6969,close
derby-B-1458,-1.0,-1.0,0.0,0.08480126588811351,0.08480126588811351,-1.0,1.0,235,0.4507042253521127,0.3620689655172414,5,2,7959,2897,1,0,0,1,0,0,610,6794,open
derby-B-2266,0.0,-1.0,0.0,0.081104871355322,0.081104871355322,-1.0,1.0,53,0.9310344827586208,0.10526315789473684,1,2,8134,3064,1,0,0,1,0,0,0,6969,open
derby-B-1896,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,88,0.2769230769230769,0.2740384615384616,11,2,8130,3021,1,0,0,1,0,0,93,6969,open
derby-B-349,0.0,-1.0,0.1,0.023834639568557327,0.023834639568557327,-0.8,1.0,56,0.3269961977186312,0.2732558139534884,14,3,7791,2804,1,0,0,1,0,0,3,6626,open
derby-B-114,0.0,-1.0,0.0,0.081104871355322,0.081104871355322,-1.0,1.0,16,0.5945945945945946,0.3636363636363637,4,2,4132,1788,1,0,0,1,1,0,41,2967,open
derby-B-1794,-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,0.15789473684210525,17,0.600656455142232,0.6476578411405295,11,2,8134,3064,1,0,0,1,0,0,0,6969,close
derby-B-1587,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,151,0.35523114355231145,0.4693877551020408,7,2,8134,3064,1,0,0,1,0,0,241,6969,close
lucene-solr-B-434,1.0,0.5,0.3809523809523809,0.4843410085820645,0.4843410085820645,-0.047619047619047616,1.0,278,0.7210526315789474,0.5550351288056206,28,2,22821,1931,1,0,0,1,0,0,868,8097,open
derby-B-1505,-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,235,0.4658469945355192,0.6762402088772846,22,2,8134,3064,1,0,0,1,0,0,610,6969,close
derby-B-1559,-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,151,0.4990706319702602,0.5778145695364238,14,2,8134,3064,1,1,0,1,0,0,241,2337,close
derby-B-1714,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,38,0.5227272727272727,0.5398230088495575,21,2,8134,3064,1,0,0,1,0,0,0,6969,close
derby-B-345,-1.0,-1.0,0.2,0.03272016230873249,0.03272016230873249,-0.6,0.5833333333333334,56,0.3137254901960784,0.32706766917293234,11,2,7791,2804,1,0,0,1,0,0,3,6626,close
tomcat-B-1110,-1.0,-1.0,0.0,0.010645521845462358,0.010645521845462358,-1.0,0.8064516129032258,39,0.41989881956155145,0.8666666666666667,22,2,17709,2264,1,1,1,1,0,0,57,6058,close
derby-B-1722,-1.0,-1.0,0.16666666666666666,0.0022775294690879104,0.0022775294690879104,-0.6666666666666666,0.17647058823529413,4,0.8032786885245902,0.3595505617977528,10,2,3164,1348,1,0,0,1,0,0,0,1999,open
derby-B-1323,-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,235,0.7228958630527818,0.8209920920201293,36,2,8134,3064,1,0,0,1,0,0,610,6969,close
derby-B-2320,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,53,0.17005988023952096,0.4647058823529412,27,2,8134,3064,1,0,0,1,0,0,0,6969,close
derby-B-2251,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,53,0.7652173913043478,0.3055555555555556,9,2,5173,2064,1,0,0,1,0,0,0,4008,close
derby-B-2342,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,0.6666666666666666,5,0.9965870307167236,0.35356200527704484,24,2,2556,879,1,0,0,1,0,0,0,1391,close
derby-B-1467,-1.0,-1.0,0.0,0.08480126588811351,0.08480126588811351,-1.0,1.0,235,0.9174701118395681,0.9118869492934332,53,2,8134,3064,1,0,0,1,0,0,610,6969,close
lucene-solr-B-1609,0.0,0.0,0.14516129032258066,0.11778620008148095,0.11778620008148095,-0.4032258064516129,1.0,118,0.6819923371647509,0.21164021164021168,9,2,13591,277,1,0,0,1,0,0,160,2873,open
derby-B-1279,-1.0,-1.0,0.07547169811320754,0.08480126588811351,0.08480126588811351,-0.8490566037735849,1.0,235,0.9300699300699301,0.5657894736842105,6,3,8134,3064,1,0,0,1,0,0,610,2264,open
derby-B-553,0.0,-1.0,0.27586206896551724,0.081104871355322,0.081104871355322,-0.4482758620689655,1.0,53,0.15272727272727274,0.5,10,3,8134,3064,1,0,0,1,0,0,3,6969,open
cassandra-B-1256,0.0,0.0,0.0,0.42773363918857626,0.42773363918857626,-1.0,1.0,57,0.9351851851851852,0.2278481012658228,4,2,7382,115,1,0,0,1,0,0,290,521,close
derby-B-574,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,53,0.5188356164383562,0.8666666666666667,40,2,8134,3064,1,0,0,1,1,1,3,6969,close
derby-B-125,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,16,0.3613963039014374,0.3226837060702875,23,2,8134,3064,1,0,0,1,0,27,41,6969,close
derby-B-109,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,16,0.5082417582417582,0.4537037037037037,20,2,8134,3064,1,0,0,1,0,0,41,6969,close
derby-B-1326,-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,235,0.24852767962308606,0.6568848758465011,22,2,8134,3064,1,0,0,1,0,1,610,6969,close
derby-B-1561,0.0,-1.0,0.125,0.023834639568557327,0.023834639568557327,-0.75,1.0,151,0.9879182156133828,0.5778145695364238,14,2,8134,3064,1,0,0,1,0,0,241,6969,open
derby-B-544,0.0,-1.0,0.27586206896551724,0.081104871355322,0.081104871355322,-0.4482758620689655,1.0,53,0.2671232876712329,0.6621621621621622,5,3,8134,3064,1,0,0,1,1,0,3,6969,open
derby-B-1119,1.0,-0.3877551020408163,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,52,0.17396416960641906,0.4837847262582821,297,2,8134,3064,1,0,0,1,0,116,124,6969,close
derby-B-118,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,16,0.2895522388059701,1.4715447154471544,10,2,8134,3064,1,0,0,1,0,0,41,6969,close
jmeter-B-24,-1.0,-1.0,0.2280701754385965,0.005381474432391197,0.005381474432391197,-0.5263157894736842,1.0,24,0.696969696969697,0.6226415094339622,2,1,13325,3497,1,0,0,1,0,0,18,3118,close
derby-B-1225,-1.0,-1.0,0.0,0.08480126588811351,0.08480126588811351,-1.0,1.0,235,0.6743169398907104,0.7130890052356021,51,2,8134,3064,1,0,0,1,1,0,610,6969,open
derby-B-1095,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,14,0.2949852507374631,0.6573033707865169,15,2,8134,3064,1,0,0,1,0,0,98,6969,close
derby-B-530,-1.0,-1.0,0.06349206349206349,0.08480126588811351,0.08480126588811351,-0.873015873015873,1.0,5,0.187039764359352,0.2302325581395349,29,2,8134,3064,1,0,0,1,0,0,0,6969,open
derby-B-2254,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,0.6666666666666666,53,0.5217391304347826,0.3055555555555556,9,2,5173,2064,1,0,0,1,0,0,0,4008,close
derby-B-128,-1.0,-1.0,0.0,0.018972308598876112,0.018972308598876112,-1.0,0.7142857142857143,16,0.4516129032258064,1.1058823529411763,9,2,4740,2001,1,0,0,1,0,0,41,3575,open
derby-B-609,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,0.6666666666666666,26,0.691699604743083,0.41216216216216217,12,2,8134,3064,1,0,0,1,0,0,17,6969,open
derby-B-137,-1.0,-1.0,0.25,0.081104871355322,0.081104871355322,-0.5,1.0,16,0.7766666666666666,0.7814569536423841,28,1,8134,3064,1,0,0,1,0,0,41,6969,open
derby-B-1297,0.0,-1.0,0.0,0.081104871355322,0.081104871355322,-1.0,1.0,235,0.981145757795504,0.7316735822959889,23,2,8134,3064,1,0,0,1,1,1,610,6969,open
derby-B-531,-1.0,-1.0,0.06349206349206349,0.08480126588811351,0.08480126588811351,-0.873015873015873,1.0,5,0.20618556701030927,0.2302325581395349,29,2,8134,3064,1,0,0,1,0,0,0,6969,open
derby-B-658,-1.0,-1.0,0.0,0.018972308598876112,0.018972308598876112,-1.0,1.0,70,0.7769784172661871,0.5189873417721519,23,2,8134,3064,1,0,0,1,0,0,68,6735,open
derby-B-568,0.0,-1.0,0.14285714285714285,0.018972308598876112,0.018972308598876112,-0.7142857142857143,1.0,53,0.3464788732394366,0.4672897196261682,11,3,8134,3064,1,0,0,1,0,0,3,6969,open
tomcat-B-18,0.0,0.0,0.1111111111111111,0.14753001392947815,0.14753001392947815,-0.6913580246913579,0.8333333333333334,4,0.4748201438848921,0.7692307692307693,13,2,17993,2411,1,0,0,1,1,0,0,973,open
derby-B-1518,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,151,0.3989071038251366,0.7934782608695652,3,2,5543,2127,1,0,0,1,0,0,241,6969,open
derby-B-1534,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,151,0.3434343434343434,0.5446685878962536,117,2,8134,3064,1,0,0,1,0,0,241,6969,close
derby-B-1730,-1.0,-1.0,0.09570957095709573,0.08480126588811351,0.08480126588811351,-0.8085808580858086,1.0,12,0.9186046511627908,0.0967741935483871,8,2,8134,3064,1,0,0,1,1,0,24,6969,open
derby-B-1516,-1.0,-1.0,0.0,0.08480126588811351,0.08480126588811351,-1.0,0.2236842105263158,4,0.16052631578947368,0.4505169867060561,24,2,8134,3064,1,0,0,1,0,0,0,6969,open
derby-B-565,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,53,0.35200000000000004,0.7622950819672131,8,2,8134,3064,1,0,0,1,0,0,3,6969,close
ant-B-819,-1.0,-1.0,0.04385964912280702,0.28036495254003496,0.28036495254003496,-0.912280701754386,0.5789473684210527,86,0.7408637873754153,0.591715976331361,15,3,7195,3454,1,0,0,1,0,0,0,12267,open
derby-B-563,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,53,0.408,0.7622950819672131,8,2,8134,3064,1,0,0,1,0,0,3,6969,close
derby-B-1554,-1.0,-1.0,0.0,0.08480126588811351,0.08480126588811351,-1.0,1.0,151,0.7136038186157518,0.5378151260504201,4,2,8134,3064,1,0,0,1,0,0,241,6969,close
derby-B-1543,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,151,0.95625,0.32653061224489793,11,2,8134,3064,1,0,0,1,0,0,241,6969,open
derby-B-1930,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,88,0.3211920529801324,0.24479166666666666,11,2,8134,3064,1,0,0,1,0,0,93,6969,open
derby-B-124,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,16,0.3593429158110883,0.3226837060702875,23,2,8134,3064,1,0,0,1,0,27,41,6969,close
derby-B-545,-1.0,-1.0,0.01098901098901099,4.9971618126111155e-05,4.9971618126111155e-05,-0.978021978021978,1.0,53,0.3721286370597244,1.0666666666666669,22,2,8134,3064,1,0,0,1,0,0,3,6969,close
cassandra-B-1259,0.0,0.0,0.0,0.42773363918857626,0.42773363918857626,-1.0,0.6,39,0.6255924170616114,0.12790697674418605,4,2,7394,117,1,0,0,1,0,0,73,763,open
derby-B-205,0.0,-1.0,0.07865168539325842,0.03272016230873249,0.03272016230873249,-0.8426966292134831,1.0,88,0.8876262626262627,0.6934673366834171,21,3,7791,2804,1,0,0,1,0,0,1,3703,open
derby-B-539,-1.0,-1.0,0.007874015748031496,4.9971618126111155e-05,4.9971618126111155e-05,-0.9842519685039368,1.0,53,0.7210682492581603,0.9794520547945206,24,2,8134,3064,1,0,0,1,0,0,3,6969,close
