canonical_id,F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-NA,F16-int,F3-NA,F3-String,F3-int,F7-NA,F12-NA,F17-NA,F2-NA,F2-String,F6-NA,F13-NA,F18-NA,F14-NA,F1-NA,F5-NA,F9-NA,F10-NA,F19-NA,F15-NA,F15-public,F0-NA,F4-NA,F4-boolean,F4-String,F4-int,F8-NA,F11-NA,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F74,F73,F84,F146,category
derby-B-114,4132,org/apache/derby/catalog/types,org/apache/derby/catalog/types/OldRoutineType.java,1788,True,0,4,1282,1,5,188,1,16,0.5945945945945946,44,16,0.3636363636363637,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,39,1,BAD_PRACTICE,0.0030052592036063108,SE_NO_SUITABLE_CONSTRUCTOR_FOR_EXTERNALIZATION,16,2,0,0.013471502590673576,0.0003454231433506045,0.0,0.0,0.0,0.0,0.0612691466083151,0.081104871355322,-1.0,0.0,0.01002865329512894,0.081104871355322,-1.0,-1.0,1,2967,1788,4132,41,0.0,0,5,36,46,0.04410753575357537,0,0,0,0,0,0,0,0.0,0,27,0,5,0,0,32,22,0.0198019801980198,2806,3969,8135,22,1185,open
derby-B-587,8134,org/apache/derby/iapi/sql/dictionary,org/apache/derby/iapi/sql/dictionary/TriggerDescriptor.java,3064,True,3,42,4478,1,0,881,1,53,0.47389969293756395,491,399,0.8126272912423625,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,58,6,MALICIOUS_CODE,0.034560480841472584,EI_EXPOSE_REP,18,2,1,0.02003454231433506,0.002072538860103627,0.0003454231433506045,-1.0,0.01098901098901099,0.001207583625166043,0.007434944237918215,4.9971618126111155e-05,-0.978021978021978,0.0,0.0007163323782234957,4.9971618126111155e-05,-0.9310344827586208,-1.0,21,6969,3064,8134,3,0.0,0,2,1,5,0.00449236298292902,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,1,1,0.001347708894878706,603,1766,8135,19,1182,close
derby-B-619,8134,org/apache/derby/iapi/tools/i18n,org/apache/derby/iapi/tools/i18n/LocalizedResource.java,3064,True,3,47,342,1,0,55,1,3,0.9558541266794626,449,35,0.0779510022271715,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,10,8,BAD_PRACTICE,0.056348610067618335,NM_METHOD_NAMING_CONVENTION,16,2,1,0.0034542314335060447,0.002763385146804836,0.0003454231433506045,-1.0,0.0,0.0,0.0612691466083151,0.081104871355322,-1.0,0.0,0.01002865329512894,0.081104871355322,-1.0,-1.0,19,6969,3064,8134,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,749,1912,8135,749,1912,open
derby-B-1319,8134,org/apache/derby/impl/sql/compile,org/apache/derby/impl/sql/compile/NumericTypeCompiler.java,3064,True,28,13,56152,1,0,4497,7,235,0.9197080291970804,346,119,0.3439306358381503,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,322,3,STYLE,0.10067618332081142,DLS_DEAD_LOCAL_STORE,17,2,2,0.11122625215889463,0.0010362694300518132,0.000690846286701209,-1.0,0.09570957095709573,0.002219211512418061,0.06260032102728733,0.08480126588811351,-0.8085808580858086,0.0,0.027936962750716332,0.08480126588811351,-0.9239130434782608,-1.0,19,6969,3064,8134,610,0.0,189,443,167,1242,0.021409778878493668,0,0,0,0,0,0,0,0.0,0,475,0,315,142,0,932,160,0.014748290613587938,3889,5052,8135,5,1168,close
derby-B-1691,8134,org/apache/derby/impl/sql/execute,org/apache/derby/impl/sql/execute/UpdateConstantAction.java,3064,True,6,5,17203,1,0,1541,1,151,0.7526881720430108,95,61,0.6421052631578947,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,207,1,MALICIOUS_CODE,0.04770848985725019,EI_EXPOSE_REP2,18,2,1,0.07150259067357513,0.0003454231433506045,0.0003454231433506045,-1.0,0.007874015748031496,0.000868001736003472,0.007434944237918215,4.9971618126111155e-05,-0.9842519685039368,0.0,0.0007163323782234957,4.9971618126111155e-05,-0.8981481481481481,-1.0,8,6969,3064,8134,241,0.0051813471502590676,81,358,-117,680,0.007261679860080886,0,9,0,9,9,-9,0,0.0051813471502590676,9,136,0,227,0,-9,363,-91,0.0028299252821855398,18,1181,8135,5,1168,open
derby-B-1133,8134,org/apache/derby/impl/sql/catalog,org/apache/derby/impl/sql/catalog/DataDictionaryImpl.java,3064,True,22,297,8491,2,0,655,5,52,0.4562495676834751,8603,4162,0.4837847262582821,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,113,41,STYLE,0.0236664162283997,SF_SWITCH_NO_DEFAULT,19,2,1,0.03903281519861832,0.014162348877374784,0.0003454231433506045,-1.0,0.0,0.0,0.06260032102728733,0.08480126588811351,-1.0,0.0,0.027936962750716332,0.08480126588811351,-0.68,-0.3877551020408163,192,6969,3064,8134,124,0.09599813142323264,0,30,94,154,0.004705215118417475,116,29,0,145,29,87,116,0.09599813142323264,145,124,0,30,0,87,154,94,0.004705215118417475,16,1179,8135,16,1179,open
derby-B-1509,8134,org/apache/derby/impl/sql/conn,org/apache/derby/impl/sql/conn/CachedStatement.java,3064,True,6,8,1771,1,0,260,2,8,0.8333333333333334,59,17,0.288135593220339,1.0,4,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,7,1,STYLE,0.03831705484598046,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,20,3,1,0.002417962003454232,0.0003454231433506045,0.0003454231433506045,-1.0,0.07547169811320754,0.0017891210486440105,0.06260032102728733,0.08480126588811351,-0.8490566037735849,0.0,0.027936962750716332,0.08480126588811351,-1.0,-1.0,6,6969,3064,8134,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,4380,5543,8135,267,1430,open
derby-B-1470,8134,org/apache/derby/impl/sql/compile,org/apache/derby/impl/sql/compile/TableElementList.java,3064,True,99,28,56152,1,0,4497,33,235,0.13947696139476962,1020,383,0.37549019607843137,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,322,8,STYLE,0.025544703230653644,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,20,3,2,0.11122625215889463,0.002763385146804836,0.000690846286701209,-1.0,0.16666666666666666,0.003561253561253561,0.06260032102728733,0.08480126588811351,-0.6666666666666666,0.0,0.027936962750716332,0.08480126588811351,-0.9239130434782608,-1.0,35,6969,3064,8134,610,0.0,189,443,167,1242,0.021409778878493668,0,0,0,0,0,0,0,0.0,0,475,0,315,142,0,932,160,0.014748290613587938,743,1906,8135,5,1168,open
derby-B-1271,8134,org/apache/derby/impl/sql/compile,org/apache/derby/impl/sql/compile/DeleteNode.java,3064,True,14,16,56152,1,0,4497,1,235,0.7514792899408284,614,252,0.4104234527687297,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,322,7,STYLE,0.0202854996243426,NP_LOAD_OF_KNOWN_NULL_VALUE,19,3,1,0.11122625215889463,0.002417962003454232,0.0003454231433506045,-1.0,0.06349206349206349,0.0015246364452713658,0.06260032102728733,0.08480126588811351,-0.873015873015873,0.0,0.027936962750716332,0.08480126588811351,-0.9239130434782608,-1.0,11,4742,2226,5907,610,0.033932135728542916,189,443,167,1242,0.021409778878493668,0,17,0,17,17,-17,0,0.033932135728542916,17,475,0,315,142,-17,932,160,0.014748290613587938,18,1181,8135,5,1168,open
derby-B-1349,8134,org/apache/derby/impl/sql/compile,org/apache/derby/impl/sql/compile/ResultColumnList.java,3064,True,42,124,56152,2,0,4497,13,235,0.6606375763056749,2475,1447,0.5846464646464646,1.0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,322,10,CORRECTNESS,0.007137490608564989,NP_NULL_ON_SOME_PATH,8,2,1,0.11122625215889463,0.0034542314335060447,0.0003454231433506045,-1.0,0.2608695652173913,0.00876439250730366,0.07692307692307693,0.018972308598876112,-0.4782608695652174,0.0,0.0035816618911174787,0.018972308598876112,-0.9239130434782608,-1.0,73,6969,3064,8134,610,0.1850142134075652,189,443,167,1242,0.021409778878493668,18,161,5,184,161,-143,18,0.1850142134075652,184,475,5,315,142,-143,932,160,0.014748290613587938,5,1168,8135,5,1168,open
derby-B-582,4429,org/apache/derby/iapi/sql/dictionary,org/apache/derby/iapi/sql/dictionary/StatementRolePermission.java,1876,True,15,5,4478,1,8,881,5,53,0.5391304347826087,74,25,0.33783783783783783,0.2,10,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,58,2,STYLE,0.10067618332081142,DLS_DEAD_LOCAL_STORE,17,2,2,0.02003454231433506,0.000690846286701209,0.000690846286701209,-1.0,0.09570957095709573,0.002219211512418061,0.06260032102728733,0.08480126588811351,-0.8085808580858086,0.0,0.027936962750716332,0.08480126588811351,-0.9310344827586208,-1.0,2,3264,1876,4429,3,0.0,0,2,1,5,0.00449236298292902,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,1,1,0.001347708894878706,1495,2658,8135,19,1182,open
derby-B-1471,8134,org/apache/derby/impl/sql/compile,org/apache/derby/impl/sql/compile/TableElementList.java,3064,True,99,28,56152,1,0,4497,33,235,0.15566625155666253,1020,383,0.37549019607843137,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,322,8,STYLE,0.025544703230653644,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,20,3,2,0.11122625215889463,0.002763385146804836,0.000690846286701209,-1.0,0.16666666666666666,0.003561253561253561,0.06260032102728733,0.08480126588811351,-0.6666666666666666,0.0,0.027936962750716332,0.08480126588811351,-0.9239130434782608,-1.0,35,6969,3064,8134,610,0.0,189,443,167,1242,0.021409778878493668,0,0,0,0,0,0,0,0.0,0,475,0,315,142,0,932,160,0.014748290613587938,743,1906,8135,5,1168,open
derby-B-1350,8134,org/apache/derby/impl/sql/compile,org/apache/derby/impl/sql/compile/ResultColumnList.java,3064,True,20,124,56152,2,0,4497,7,235,0.2539000678272665,2475,1447,0.5846464646464646,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,322,10,STYLE,0.028925619834710745,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,1,0.11122625215889463,0.0034542314335060447,0.0003454231433506045,-1.0,0.03947368421052632,0.0009721926273172812,0.06260032102728733,0.08480126588811351,-0.9210526315789472,0.0,0.027936962750716332,0.08480126588811351,-0.9239130434782608,-1.0,73,6969,3064,8134,610,0.1850142134075652,189,443,167,1242,0.021409778878493668,18,161,5,184,161,-143,18,0.1850142134075652,184,475,5,315,142,-143,932,160,0.014748290613587938,5,1168,8135,5,1168,open
derby-B-205,7791,org/apache/derby/client/am,org/apache/derby/client/am/Lob.java,2804,True,0,21,17144,1,8,2530,1,88,0.8876262626262627,199,138,0.6934673366834171,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,116,1,MT_CORRECTNESS,0.033057851239669415,IS2_INCONSISTENT_SYNC,20,3,0,0.04006908462867012,0.0003454231433506045,0.0,0.0,0.07865168539325842,0.004262682222238725,0.062146892655367235,0.03272016230873249,-0.8426966292134831,0.0,0.003939828080229225,0.03272016230873249,-0.9032258064516128,-1.0,12,3703,2027,4868,1,0.0,0,1,0,2,0.0016064257028112448,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,139,1302,8135,97,1260,open
derby-B-1597,8134,org/apache/derby/impl/sql/execute,org/apache/derby/impl/sql/execute/HashTableResultSet.java,3064,True,83,12,17203,1,0,1541,31,151,0.5034013605442177,441,185,0.4195011337868481,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,207,5,STYLE,0.0026296018031555213,BC_VACUOUS_INSTANCEOF,17,2,1,0.07150259067357513,0.0017271157167530224,0.0003454231433506045,-1.0,0.0,0.0,0.06260032102728733,0.08480126588811351,-1.0,0.0,0.027936962750716332,0.08480126588811351,-0.8981481481481481,-1.0,11,6969,3064,8134,241,0.0,81,358,-117,680,0.007261679860080886,0,0,0,0,0,0,0,0.0,0,136,0,227,0,0,363,-91,0.0028299252821855398,3193,4356,8135,5,1168,open
derby-B-260,4197,org/apache/derby/client/am/stmtcache,org/apache/derby/client/am/stmtcache/StatementKey.java,1798,True,62,4,114,1,8,13,19,4,0.8006329113924051,107,38,0.35514018691588783,0.3145161290322581,18,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,2,1,CORRECTNESS,0.007137490608564989,NP_NULL_ON_SOME_PATH,8,2,1,0.000690846286701209,0.0003454231433506045,0.0003454231433506045,-1.0,0.2608695652173913,0.00876439250730366,0.07692307692307693,0.018972308598876112,-0.4782608695652174,0.0,0.0035816618911174787,0.018972308598876112,-1.0,-1.0,3,3032,1798,4197,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,2875,4038,8135,183,1346,open
cassandra-B-1171,9316,org/apache/cassandra/thrift,org/apache/cassandra/thrift/SchemaDisagreementException.java,489,True,4,24,40018,3,2,1728,1,402,0.5433070866141733,163,48,0.294478527607362,0.875,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,376,3,STYLE,0.008136094674556213,UC_USELESS_VOID_METHOD,20,3,1,0.2653493295695131,0.002117148906139732,0.0007057163020465772,-1.0,0.0,0.0,0.1264367816091954,0.42773363918857626,-1.0,0.0,0.04034229828850856,0.42773363918857626,-0.8447204968944101,-1.0,8,3524,657,10385,5121,0.0,1020,255,4866,6396,0.031117378282472862,0,0,0,0,0,0,0,0.0,0,12,0,2,3,0,17,10,0.007508417508417506,553,7368,13797,8,6816,open
derby-B-134,8134,org/apache/derby/catalog/types,org/apache/derby/catalog/types/TypeDescriptorImpl.java,3064,True,16,28,1282,1,0,188,9,16,0.7766666666666666,302,236,0.7814569536423841,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,39,7,BAD_PRACTICE,0.0011269722013523664,BC_EQUALS_METHOD_SHOULD_WORK_FOR_ALL_OBJECTS,16,2,3,0.013471502590673576,0.002417962003454232,0.0010362694300518132,-1.0,0.0,0.0,0.0612691466083151,0.081104871355322,-1.0,0.0,0.01002865329512894,0.081104871355322,-1.0,-1.0,33,6969,3064,8134,41,0.0,0,5,36,46,0.04410753575357537,0,0,0,0,0,0,0,0.0,0,27,0,5,0,0,32,22,0.0198019801980198,1474,2637,8135,22,1185,open
derby-B-1323,8134,org/apache/derby/impl/sql/compile,org/apache/derby/impl/sql/compile/OptimizerImpl.java,3064,True,44,36,56152,1,0,4497,6,235,0.7228958630527818,1391,1142,0.8209920920201293,1.0,43,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,322,2,STYLE,0.10067618332081142,DLS_DEAD_LOCAL_STORE,17,2,1,0.11122625215889463,0.000690846286701209,0.0003454231433506045,-1.0,0.09570957095709573,0.002219211512418061,0.06260032102728733,0.08480126588811351,-0.8085808580858086,0.0,0.027936962750716332,0.08480126588811351,-0.9239130434782608,-1.0,26,6969,3064,8134,610,0.0,189,443,167,1242,0.021409778878493668,0,0,0,0,0,0,0,0.0,0,475,0,315,142,0,932,160,0.014748290613587938,1955,3118,8135,5,1168,close
derby-B-1718,8134,org/apache/derby/impl/sql/execute/rts,org/apache/derby/impl/sql/execute/rts/RunTimeStatisticsImpl.java,3064,True,17,21,2007,1,0,344,1,38,0.2601010101010101,226,122,0.5398230088495575,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,28,9,MALICIOUS_CODE,0.04770848985725019,EI_EXPOSE_REP2,18,2,5,0.009671848013816924,0.003108808290155441,0.0017271157167530224,-1.0,0.007874015748031496,0.000868001736003472,0.007434944237918215,4.9971618126111155e-05,-0.9842519685039368,0.0,0.0007163323782234957,4.9971618126111155e-05,-1.0,-1.0,8,6969,3064,8134,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,604,1767,8135,142,1305,close
derby-B-542,8134,org/apache/derby/iapi/sql/dictionary,org/apache/derby/iapi/sql/dictionary/CatalogRowFactory.java,3064,True,3,24,4478,1,0,881,1,53,0.4836795252225519,146,143,0.9794520547945206,1.0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,58,6,STYLE,0.03831705484598046,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,20,3,1,0.02003454231433506,0.002072538860103627,0.0003454231433506045,-1.0,0.07547169811320754,0.0017891210486440105,0.06260032102728733,0.08480126588811351,-0.8490566037735849,0.0,0.027936962750716332,0.08480126588811351,-0.9310344827586208,-1.0,12,6969,3064,8134,3,0.0,0,2,1,5,0.00449236298292902,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,1,1,0.001347708894878706,1651,2814,8135,19,1182,open
